*	name	The 2500 most common chinese characters
好	"汉字: 好
拼音: hao3/hao4
英文: good/well, be fond of
五笔:vb.vbg
F(x):82"	tts_好.mp3		3,0,1,1,1,2,0,2014-01-03 13:20,1969-12-31 19:00	
小	"汉字: 小
拼音: xiao3
英文: small/tiny/few/young
五笔:ih.iht.ihty
F(x):83"	tts_小.mp3		3,0,1,1,1,2,0,2014-01-03 13:20,1969-12-31 19:00	
部	"汉字: 部
拼音: bu4
英文: ministry/department/section/part/division/troops/board/(a measure word)/(a measure word for works of literature, films, machines, etc.)
五笔:uk.ukb.ukbh
F(x):84"	tts_部.mp3		2,0,34,25,6,7,372,2016-04-24 16:44,2016-09-17 04:44	
其	"汉字: 其
拼音: qi2
英文: his/her/its/theirs/that/such/it (refers to sth preceding it)
五笔:adw.adwu
F(x):85"	tts_其.mp3		2,0,34,25,10,11,4315,2015-11-30 21:07,2016-11-27 16:07	
些	"汉字: 些
拼音: xie1
英文: some/few/several/(a measure word)
五笔:hxf.hxff
F(x):86"	tts_些.mp3		2,0,15,14,6,7,4320,2015-10-07 21:02,2016-10-18 21:02	
主	"汉字: 主
拼音: zhu3
英文: to own/to host/master/lord/primary
五笔:y.yg.ygd
F(x):87"	tts_主.mp3		2,0,19,16,7,8,4320,2015-11-29 21:19,2016-11-26 21:19	
样	"汉字: 样
拼音: yang4
英文: manner/pattern/way/appearance/shape
五笔:su.sud.sudh
F(x):88"	tts_样.mp3		2,0,12,12,12,13,4320,2016-02-24 21:39,2017-01-15 21:39	
理	"汉字: 理
拼音: li3
英文: reason/logic/science/inner principle or structure
五笔:gj.gjf.gjfg
F(x):89"	tts_理.mp3		2,0,20,18,7,8,720,2016-04-24 16:51,2016-10-01 16:51	
心	"汉字: 心
拼音: xin1
英文: heart/mind
五笔:ny.nyny
F(x):90"	tts_心.mp3		2,0,7,7,12,13,4320,2015-10-20 20:58,2016-10-24 20:58	
她	"汉字: 她
拼音: ta1
英文: she
五笔:vbn
F(x):91"	tts_她.mp3		2,0,9,8,11,12,4320,2015-09-24 21:15,2016-10-07 21:15	
本	"汉字: 本
拼音: ben3
英文: roots or stems of plants/origin/source/this/the current/root/foundation/basis/(a measure word)
五笔:sg.sgd
F(x):92"	tts_本.mp3		2,0,10,10,12,13,4320,2015-09-16 21:15,2016-09-29 21:15	
